species,strain,sex,organ,finding,severity,n_studies,n_animals,n_affected,mean_incidence_pct,sd_incidence_pct,min_incidence_pct,max_incidence_pct,duration_category,source,confidence,notes,year_min,year_max,severity_scale_version,terminology_version,severity_distribution,source_page,source_table,source_row_label,extraction_pass,flags
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,HEART,coronary intimal thickening,ANY,50,570,10,1.8,,0.0,25.0,,chamanza_2010,HIGH,pass2_m=5;pass2_f=5,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / coronary intimal thickening,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,HEART,arteritis/periarteritis,ANY,50,570,7,1.2,,0.0,25.0,,chamanza_2010,HIGH,pass2_m=3;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / arteritis/periarteritis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,HEART,mineralization,ANY,50,570,3,0.5,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=None;pass2_f=3,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / mineralization,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,HEART,squamous/epithelial cysts or plaques,ANY,50,570,3,0.5,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=1;pass2_f=2,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Heart / squamous/epithelial cysts or plaques,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,AORTA,mucinous change,ANY,20,570,15,2.6,,0.0,40.0,,chamanza_2010,HIGH,pass2_m=7;pass2_f=8,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / mucinous change,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,AORTA,intimal thickening/degeneration,ANY,20,570,9,1.6,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=4;pass2_f=5,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / intimal thickening/degeneration,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,AORTA,mineralization,ANY,20,570,5,0.9,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=3;pass2_f=2,2003,2009,unknown,inhand_pre_2024,,3,Table 2,Aorta / mineralization,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,inflammatory cell foci,ANY,58,570,346,60.7,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=166;pass2_f=180,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / inflammatory cell foci,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,diffuse hepatocyte vacuolation/lipidosis,ANY,58,570,35,6.1,,0.0,60.0,,chamanza_2010,HIGH,pass2_m=18;pass2_f=17,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / diffuse hepatocyte vacuolation/lipidosis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,tension lipidosis/focal lipidosis,ANY,58,570,33,5.8,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=7;pass2_f=26,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / tension lipidosis/focal lipidosis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,glycogen vacuolation,ANY,58,570,32,5.6,,0.0,100.0,,chamanza_2010,HIGH,pass2_m=14;pass2_f=18,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / glycogen vacuolation,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,focal necrosis/single cell necrosis,ANY,58,570,22,3.9,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=11;pass2_f=11,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / focal necrosis/single cell necrosis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,subcapsular hemorrhage/fibrosis,ANY,58,570,20,3.5,,0.0,37.5,,chamanza_2010,HIGH,pass2_m=11;pass2_f=9,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / subcapsular hemorrhage/fibrosis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,bile duct hyperplasia/periportal fibrosis,ANY,58,570,11,1.9,,0.0,20.0,,chamanza_2010,HIGH,pass2_m=7;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / bile duct hyperplasia/periportal fibrosis,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,pigment,ANY,58,570,11,1.9,,0.0,50.0,,chamanza_2010,HIGH,pass2_m=5;pass2_f=6,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / pigment,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,LIVER,ectopic adrenal gland,ANY,58,570,2,0.4,,0.0,12.5,,chamanza_2010,HIGH,pass2_m=0;pass2_f=2,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Liver / ectopic adrenal gland,2,pass2_aggregate_reconstruction
CYNO,MACACA_FASCICULARIS,BOTH_AGGREGATE,GALL BLADDER,inflammatory cell infiltrations,ANY,16,570,9,1.6,,0.0,20.0,,chamanza_2010,HIGH,pass2_m=5;pass2_f=4,2003,2009,unknown,inhand_pre_2024,,3,Table 3,Gall bladder / inflammatory cell infiltrations,2,pass2_aggregate_reconstruction
