Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C89960		Yes	Body Weight Gain Test Code	BGTESTCD	Body Weight Gain Test Code	Terminology for the test codes concerned with the increase in overall body mass.	CDISC SEND Body Weight Gain Test Code Terminology
C62754	C89960		Body Weight Gain Test Code	BWGAIN	Body Weight Gain	A change in overall body weight, relative to the beginning of the collection period.	Weight Gain
C90363	C89960		Body Weight Gain Test Code	BWGAINA	Average Body Weight Gain	The mean value of the amount of weight change over a period of time, relative to the beginning of the collection period.	Average Body Weight Gain
C124476	C89960		Body Weight Gain Test Code	BWGAINGU	Gravid Uterus Adjusted Body Weight Gain	The amount of maternal body weight gained over a period of time where the weight at the end of the interval is adjusted for the gravid uterus weight. This is derived by subtracting the maternal body weight adjusted for the gravid uterus from the total maternal body weight.	Gravid Uterus Adjusted Maternal Body Weight Gain
C90434	C89960		Body Weight Gain Test Code	BWGAINP	Percentage Body Weight Gain	The amount of weight change over a period of time in relation to the total weight, relative to the beginning of the collection period.	Percentage Body Weight Gain
